p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,strat_money
439,国金鑫盈货币,2019-01-17,0.0415,0.18,0.2137,0.6485,0.8505,0.0613,0.3875,0.6505,1.7978,100
20031,国泰现金管理货币A,2019-01-17,0.2936,0.99,0.8633,1.2825,1.2951,0.1084,0.3175,0.6345,1.8547,100
20032,国泰现金管理货币B,2019-01-17,0.3594,1.229,1.1039,1.5224,1.5349,0.1287,0.3782,0.7565,2.1002,5000000
560001,益民货币,2019-01-17,0.5547,1.968,1.9789,2.5768,2.4736,0.2258,0.5382,0.9427,2.2167,100
683,信达澳银慧管家E,2019-01-17,0.5722,2.162,2.2209,2.6106,2.5242,0.2162,0.5555,1.1107,2.7418,100
630012,华商现金增利货币A,2019-01-17,0.5041,1.915,2.1152,2.6397,2.6188,0.2239,0.532,1.1032,2.7816,100
734,博时天天增利货币A,2019-01-17,0.5547,2.001,2.0317,2.7874,2.6816,0.2291,0.597,1.1611,2.7988,100
738,中信建投货币A,2019-01-17,0.4997,1.872,2.1832,2.3958,2.3525,0.2024,0.5953,1.3253,2.8563,100
70028,嘉实安心货币市场A,2019-01-17,0.5162,1.955,2.0532,2.6738,2.6056,0.2231,0.5516,1.24,2.9143,100
644,招商招金宝货币A,2019-01-17,0.657,2.433,2.6159,2.7685,2.6312,0.2287,0.57,1.1715,2.9213,100
519588,交银货币A,2019-01-17,0.6356,2.23,2.3627,2.5973,2.5348,0.2185,0.55,1.1737,2.9302,100
540011,汇丰晋信货币A,2019-01-17,0.5748,3.25,2.3488,2.8205,2.8769,0.2347,0.6418,1.2626,2.9535,1000
110006,易方达货币A,2019-01-17,0.512,2.258,2.3427,2.9228,2.8901,0.2467,0.6297,1.2958,2.9594,100
20007,国泰货币,2019-01-17,0.5178,1.871,2.0038,2.0247,1.9235,0.166,0.5308,1.161,2.9837,100
310338,申万菱信收益宝货币A,2019-01-17,0.6584,2.485,2.5794,3.0363,2.9153,0.2508,0.6151,1.2218,2.9994,100
675071,西部利得天添金货币A,2019-01-17,0.7905,2.671,3.2765,3.8131,3.8739,0.3206,0.5658,1.177,3.0029,100
681,信达澳银慧管家A,2019-01-17,0.6479,2.424,2.4844,2.9791,2.8621,0.2459,0.6149,1.2295,3.0103,1000
1925,兴业鑫天盈货币A,2019-01-17,0.5983,2.217,2.3201,2.4755,2.4636,0.2051,0.5905,1.219,3.0148,100
630112,华商现金增利货币B,2019-01-17,0.5699,2.157,2.3571,2.8807,2.8594,0.2444,0.593,1.2257,3.0289,5000000
519566,浦银安盛日日盈货币A,2019-01-17,0.5717,2.129,2.3233,2.6645,2.6307,0.2242,0.607,1.2735,3.0322,100
576,中邮货币A,2019-01-17,0.5907,2.37,2.2976,2.701,2.5914,0.233,0.6028,1.1976,3.0456,100
583001,东吴货币A,2019-01-17,0.6316,2.376,2.5201,2.5162,2.4536,0.2089,0.6661,1.2895,3.0459,100
735,博时天天增利货币B,2019-01-17,0.6191,2.246,2.2753,3.033,2.9273,0.2495,0.6579,1.2837,3.0462,5000000
4473,前海开源尊享货币A,2019-01-17,,,,,,0.2913,0.5918,1.2155,3.0552,1000
3171,信达澳银慧理财货币,2019-01-17,0.5427,1.802,2.0838,2.7829,2.6498,0.2281,0.5652,1.2282,3.0575,100
40003,华安现金富利货币A,2019-01-17,0.6117,2.198,2.2661,2.7287,2.6261,0.2279,0.5964,1.2356,3.0629,100
855,上投摩根天添盈货币A,2019-01-17,0.7641,2.63,2.673,2.7537,2.7315,0.2306,0.654,1.2858,3.0761,100
721,兴业货币A,2019-01-17,0.7069,1.959,2.0288,2.8933,2.7546,0.2363,0.6267,1.2908,3.0835,100
712,上投摩根天添宝货币A,2019-01-17,0.6031,2.226,2.3511,2.8496,2.7621,0.2374,0.6059,1.256,3.089,100
710501,富安达现金通货币A,2019-01-17,1.6089,2.802,2.9895,3.157,2.9754,0.2574,0.6645,1.301,3.0951,100
505,国寿安保货币A,2019-01-17,0.8555,2.901,3.1101,3.1202,2.9319,0.2541,0.64,1.3079,3.0986,100
260102,景顺货币A,2019-01-17,0.6159,2.572,2.812,2.8793,2.7615,0.2392,0.664,1.3575,3.103,100
320002,诺安货币A,2019-01-17,0.6566,2.31,2.3604,2.7299,2.6012,0.226,0.6113,1.2822,3.1052,100
290001,泰信天天收益货币A,2019-01-17,0.5361,1.681,3.1999,3.4091,3.1454,0.2797,0.6452,1.2934,3.1088,1000
741,兴银货币A,2019-01-17,0.6479,2.31,2.5347,2.8708,2.7872,0.2376,0.6265,1.3077,3.118,100
360003,光大货币,2019-01-17,0.619,2.259,2.4392,2.6829,2.6503,0.2173,0.598,1.2606,3.1209,100
366,汇添富添富通货币A,2019-01-17,0.7458,2.712,2.8731,3.1818,3.1527,0.2673,0.7477,1.4155,3.1247,100
4860,华泰紫金零钱宝货币,2019-01-17,0.5926,2.372,2.7962,3.4007,3.2631,0.2802,0.6655,1.3565,3.1289,100
3588,东吴增鑫宝货币A,2019-01-17,0.5578,1.986,1.9059,2.4194,2.4341,0.205,0.5941,1.283,3.1302,100
2646,中科沃土货币A,2019-01-17,0.6349,2.59,3.1387,3.2958,3.1346,0.2728,0.6242,1.3337,3.1329,100
519999,长信利息收益货币A,2019-01-17,0.8602,2.619,3.0777,2.8897,2.807,0.2549,0.6752,1.324,3.1337,100
70029,嘉实安心货币市场B,2019-01-17,0.5835,2.196,2.2964,2.9137,2.8458,0.2435,0.6128,1.3626,3.1622,5000000
2747,中欧货币C,2019-01-17,0.6191,2.205,2.3736,2.6582,2.565,0.2206,0.6082,1.2998,3.1673,100
4133,中航航行宝货币,2019-01-17,0.6498,2.33,2.3552,3.0694,2.9423,0.2526,0.6546,1.2994,3.1682,100
651,招商招金宝货币B,2019-01-17,0.7228,2.679,2.8628,3.0181,2.8808,0.2493,0.6311,1.2942,3.1688,5000000
300,德邦德利货币A,2019-01-17,0.6054,2.184,2.3028,3.4582,3.2989,0.2812,0.6635,1.3073,3.1688,100
4786,渤海汇金汇添金货币A,2019-01-17,0.6513,2.355,2.5556,2.6702,2.7575,0.2453,0.6592,1.3427,3.1698,100
203,国富日日收益货币A,2019-01-17,0.6372,2.891,3.4161,2.8176,2.7639,0.2342,0.6445,1.3465,3.1724,100
