p_code,p_name,earning,start_date,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
000439,国金鑫盈货币,0.0415,01-17,0.1800%,0.21%,0.65%,0.85%,0.06%,0.39%,0.65%,1.80%,100
020031,国泰现金管理货币A,0.2936,01-17,0.9900%,0.86%,1.28%,1.30%,0.11%,0.32%,0.63%,1.85%,100
020032,国泰现金管理货币B,0.3594,01-17,1.2290%,1.10%,1.52%,1.53%,0.13%,0.38%,0.76%,2.10%,5000000
020007,国泰货币,0.5178,01-17,1.8710%,2.00%,2.02%,1.92%,0.17%,0.53%,1.16%,2.98%,100
000738,中信建投货币A,0.4997,01-17,1.8720%,2.18%,2.40%,2.35%,0.20%,0.60%,1.33%,2.86%,100
003588,东吴增鑫宝货币A,0.5578,01-17,1.9860%,1.91%,2.42%,2.43%,0.21%,0.59%,1.28%,3.13%,100
001925,兴业鑫天盈货币A,0.5983,01-17,2.2170%,2.32%,2.48%,2.46%,0.21%,0.59%,1.22%,3.01%,100
004589,民生加银腾元宝货币B,--,--,---,---,---,---,0.21%,0.69%,1.62%,3.70%,5000000
000981,北信瑞丰现金添利A,1.2850,01-17,2.5600%,2.49%,2.50%,2.47%,0.21%,0.73%,1.38%,3.26%,100
004985,博时合晶货币,0.6773,01-17,2.4190%,2.56%,2.50%,2.59%,0.21%,0.59%,1.30%,3.30%,100
583001,东吴货币A,0.6316,01-17,2.3760%,2.52%,2.52%,2.45%,0.21%,0.67%,1.29%,3.05%,100
000683,信达澳银慧管家E,0.5722,01-17,2.1620%,2.22%,2.61%,2.52%,0.22%,0.56%,1.11%,2.74%,100
360003,光大货币,0.6190,01-17,2.2590%,2.44%,2.68%,2.65%,0.22%,0.60%,1.26%,3.12%,100
519588,交银货币A,0.6356,01-17,2.2300%,2.36%,2.60%,2.53%,0.22%,0.55%,1.17%,2.93%,100
000901,国开货币A,0.5959,01-17,2.2060%,2.55%,2.62%,2.53%,0.22%,0.64%,1.43%,3.40%,100
001101,银华惠添益货币,0.6543,01-17,2.4040%,2.42%,2.63%,2.62%,0.22%,0.65%,1.65%,3.36%,100
